cliente;proyecto;espacio en disco;tamaño de disco;region AWS
adidas;camiseta2011;0;150GB;US East (Northern Virginia) Region;/var/sites3/adidas-co-camiseta2011
adidas;qrcodes;0;150GB;US East (Northern Virginia) Region;/var/sites3/adidas-rg-qrcodes
espn;microrugby;0;150GB;US East (Northern Virginia) Region;/var/sites3/espn-ar-microrugby
educar;semanadelaeducacion;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/educar-rg-semanadelaeducacion
originals;fb;0;150GB;No entry dicionary;/var/sites3/originals-ec-fb
pommo;banamex;0;150GB;No entry dicionary;/var/sites/tray02/projects/pommo-pmusic-banamex
asus;lanzamientoasus;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/asus-mx-lanzamientoasus
irsa;groupipack;0;150GB;US East (Northern Virginia) Region;/var/trays/tray02/projects/irsa-ar-groupipack
adidas;running2013;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-mx-running2013
adidas;concursorunningtracks;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-ar-concursorunningtracks
brandigital;site;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/brandigital-ar-site
avon;daresdar;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/avon-ar-daresdar
adidas;tabNarratuGOL;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-mx-tabNarratuGOL
adidas;microrealmadrid;0;150GB;No entry dicionary;/var/sites/tray02/projects/adidas-lat-microrealmadrid
avon;mamastyle;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/avon-rg-mamastyle
falabella;crmfee;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/falabella-rg-crmfee
irsa;soyfanaltopalermo;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/irsa-ar-soyfanaltopalermo
beldent;tabcomerciales;0;150GB;No entry dicionary;/var/sites/tray02/projects/beldent-arg-tabcomerciales
priceless;twitterdescarga;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/priceless-mx-twitterdescarga
eltiempo;promofasciculos;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/eltiempo-co-promofasciculos
asus;lanzamientoasus;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/asus-mx-lanzamientoasus
adidas;sanvalentin;0;150GB;No entry dicionary;/var/sites/tray02/projects/adidas-ec-sanvalentin
